,parent_id,rank,tax_name,root,below_root,superkingdom,below_superkingdom,below_below_superkingdom,below_below_below_superkingdom,below_below_below_below_superkingdom,phylum,below_phylum,below_below_phylum,subphylum,class,below_class,below_below_class,subclass,order,below_order,below_below_order,suborder,family,below_family,below_below_family,below_below_below_family,subfamily,tribe,genus,below_genus,subgenus,species_group,species_subgroup,species,below_species,below_below_species,below_below_below_species,subspecies,below_subspecies,below_below_subspecies,below_below_below_subspecies
7926,1224,class,Betaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Betaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
7924,1224,class,Betaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Betaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8080,1236,order,Xanthomonadales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Xanthomonadales,,,,,,,,,,,,,,,,,,,,,,
7946,135614,family,Rhodanobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Rhodanobacteraceae,,,,,,,,,,,,,,,,,,
7945,135614,family,Rhodanobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Rhodanobacteraceae,,,,,,,,,,,,,,,,,,
7943,135614,family,Rhodanobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Rhodanobacteraceae,,,,,,,,,,,,,,,,,,
7942,135614,family,Rhodanobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Rhodanobacteraceae,,,,,,,,,,,,,,,,,,
7941,135614,family,Rhodanobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Rhodanobacteraceae,,,,,,,,,,,,,,,,,,
7940,135614,family,Rhodanobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Rhodanobacteraceae,,,,,,,,,,,,,,,,,,
8079,1236,order,Xanthomonadales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Xanthomonadales,,,,,,,,,,,,,,,,,,,,,,
8077,1236,order,Xanthomonadales,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,Xanthomonadales,,,,,,,,,,,,,,,,,,,,,,
8075,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
8074,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
7956,32033,genus,Lysobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Lysobacter,,,,,,,,,,,,
7954,32033,genus,Lysobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Lysobacter,,,,,,,,,,,,
7953,32033,genus,Lysobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Lysobacter,,,,,,,,,,,,
7952,32033,genus,Lysobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Lysobacter,,,,,,,,,,,,
8073,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
7961,32033,genus,Luteimonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Luteimonas,,,,,,,,,,,,
7959,32033,genus,Luteimonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Luteimonas,,,,,,,,,,,,
8072,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
7976,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
7972,32033,genus,Xylella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xylella,,,,,,,,,,,,
7970,2370,species,Xylella fastidiosa,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,,,,,,Xylella fastidiosa,,,,,,,
7969,2370,species,Xylella fastidiosa,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,,,,,,Xylella fastidiosa,,,,,,,
7968,2370,species,Xylella fastidiosa,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,,,,,,Xylella fastidiosa,,,,,,,
7967,2370,species,Xylella fastidiosa,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,,,,,,Xylella fastidiosa,,,,,,,
7975,83618,species,Pseudoxanthomonas suwonensis,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,,,,,,Pseudoxanthomonas suwonensis,,,,,,,
8071,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
7981,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
7980,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8070,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
8030,135614,family,Xanthomonadaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Xanthomonadaceae,,,,,,,,,,,,,,,,,,
8028,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
8027,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
7987,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
7986,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
8026,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,,,,,,,,
8025,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
8024,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,,,,,,,,
7994,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,,,,,,,,
7992,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,,,,,,,,
8023,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
8009,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
8003,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
7997,32033,genus,Stenotrophomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Stenotrophomonas,,,,,,,,,,,,
8002,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,995085.0,,Stenotrophomonas maltophilia,,,,,,,
8001,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8008,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8006,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8022,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,995085.0,,Stenotrophomonas maltophilia,,,,,,,
8021,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8019,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8015,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8013,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8018,995085,species,Stenotrophomonas maltophilia,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Stenotrophomonas,,,,,Stenotrophomonas maltophilia,,,,,,,
8069,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8063,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8051,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8045,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8043,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8039,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8037,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8036,338,species,Xanthomonas campestris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,,,,,,Xanthomonas campestris,,,,,,,
8034,339,below_species,Xanthomonas campestris pv. campestris,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,,,,Xanthomonas campestris pv. campestris,,,,,,
8042,338,species,Xanthomonas oryzae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,,,,,,Xanthomonas oryzae,,,,,,,
8050,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8049,32033,genus,Xanthomonas,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,,,,,,,Xanthomonas,,,,,,,,,,,,
8062,643453,species,Xanthomonas citri,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,,,Xanthomonas citri,,,,,,,
8061,643453,species,Xanthomonas citri,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,643453.0,,Xanthomonas citri,,,,,,,
8059,643453,species,Xanthomonas citri,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,643453.0,,Xanthomonas citri,,,,,,,
8058,643453,species,Xanthomonas citri,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,643453.0,,Xanthomonas citri,,,,,,,
8057,643453,species,Xanthomonas citri,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,643453.0,,Xanthomonas citri,,,,,,,
8068,643453,species,Xanthomonas citri,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,643453.0,,Xanthomonas citri,,,,,,,
8067,643453,species,Xanthomonas citri,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Xanthomonadales,,,,Xanthomonadaceae,,,,,,Xanthomonas,,,,,Xanthomonas citri,,,,,,,
11589,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8091,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8085,72273,family,Thiotrichaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Thiotrichaceae,,,,,,,,,,,,,,,,,,
8090,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8089,135618,family,Methylococcaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Methylococcaceae,,,,,,,,,,,,,,,,,,
11588,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8098,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8096,1692040,family,Acidiferrobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Acidiferrobacteraceae,,,,,,,,,,,,,,,,,,
8094,1692040,family,Acidiferrobacteraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Acidiferrobacteraceae,,,,,,,,,,,,,,,,,,
11587,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8124,135613,family,Ectothiorhodospiraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Ectothiorhodospiraceae,,,,,,,,,,,,,,,,,,
8112,135613,family,Ectothiorhodospiraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Ectothiorhodospiraceae,,,,,,,,,,,,,,,,,,
8110,135613,family,Ectothiorhodospiraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Ectothiorhodospiraceae,,,,,,,,,,,,,,,,,,
8106,135613,family,Ectothiorhodospiraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Ectothiorhodospiraceae,,,,,,,,,,,,,,,,,,
8105,72276,genus,Spiribacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Chromatiales,,,,,,,,,,Spiribacter,,,,,,,,,,,,
8109,72276,genus,Halorhodospira,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Chromatiales,,,,,,,,,,Halorhodospira,,,,,,,,,,,,
8123,135613,family,Ectothiorhodospiraceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Ectothiorhodospiraceae,,,,,,,,,,,,,,,,,,
8122,72276,genus,Thioalkalivibrio,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Chromatiales,,,,,,,,,,Thioalkalivibrio,,,,,,,,,,,,
8121,72276,genus,Thioalkalivibrio,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Chromatiales,,,,,,,,,,Thioalkalivibrio,,,,,,,,,,,,
8117,72276,genus,Thioalkalivibrio,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Chromatiales,,,,,,,,,,Thioalkalivibrio,,,,,,,,,,,,
8120,72276,genus,Thioalkalivibrio,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Chromatiales,,,,,,,,,,Thioalkalivibrio,,,,,,,,,,,,
11586,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11568,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11566,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11550,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8140,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8139,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
8135,135613,family,Chromatiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Chromatiaceae,,,,,,,,,,,,,,,,,,
8134,135613,family,Chromatiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Chromatiaceae,,,,,,,,,,,,,,,,,,
8132,135613,family,Chromatiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Chromatiaceae,,,,,,,,,,,,,,,,,,
8131,135613,family,Chromatiaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Chromatiaceae,,,,,,,,,,,,,,,,,,
8138,1224,class,Gammaproteobacteria,root,cellular organisms,Bacteria,,,,,,,,,Gammaproteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,
11549,2,phylum,Proteobacteria,root,cellular organisms,,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11548,2,phylum,Proteobacteria,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11476,2,phylum,Proteobacteria,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8762,2,phylum,Proteobacteria,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8304,72274,family,Moraxellaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,,,,,,,,,,,,,
8184,72274,family,Moraxellaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,,,,,,,,,,,,,
8166,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,Moraxella,,,,,,,,,,,,
8150,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,Moraxella,,,,,,,,,,,,
8149,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,Moraxella,,,,,,,,,,,,
8145,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,Moraxella,,,,,,,,,,,,
8148,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,Moraxella,,,,,,,,,,,,
8165,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Moraxella,,,,,,,,,,,,
8155,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Moraxella,,,,,,,,,,,,
8154,475,species,Moraxella catarrhalis,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,Moraxellaceae,,,,,,,,,,,Moraxella catarrhalis,,,,,,,
8164,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Moraxella,,,,,,,,,,,,
8163,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Moraxella,,,,,,,,,,,,
8162,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Moraxella,,,,,,,,,,,,
8161,468,genus,Moraxella,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Moraxella,,,,,,,,,,,,
8183,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8169,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8182,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8180,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8179,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8178,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8176,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8175,468,genus,Psychrobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Psychrobacter,,,,,,,,,,,,
8303,72274,family,Moraxellaceae,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,,,,,Moraxellaceae,,,,,,,,,,,,,,,,,,
8302,468,genus,Acinetobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Acinetobacter,,,,,,,,,,,,
8188,468,genus,Acinetobacter,root,cellular organisms,Bacteria,,,,,Proteobacteria,,,,Gammaproteobacteria,,,,Pseudomonadales,,,,,,,,,,Acinetobacter,,,,,,,,,,,,
