,no rank,superkingdom,genus,species,order,phylum,class,family,strain,forma specialis,clade,subphylum,suborder,subspecies,species group,species subgroup,subfamily,subgenus,serogroup,serotype,biotype,tribe,subclass,isolate,pathogroup
1581,cellular organisms,Bacteria,Lentilactobacillus,Lactobacillus buchneri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1051650,cellular organisms,Bacteria,Lacticaseibacillus,Lactobacillus casei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus casei 12A,,Terrabacteria group,,,,,,,,,,,,,,
1423732,cellular organisms,Bacteria,Lacticaseibacillus,Lactobacillus casei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus casei DSM 20011 = JCM 1134 = ATCC 393,,Terrabacteria group,,,,,,,,,,,,,,
1582,cellular organisms,Bacteria,Lacticaseibacillus,Lactobacillus casei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1583,cellular organisms,Bacteria,Weissella,Weissella confusa,Lactobacillales,Firmicutes,Bacilli,Leuconostocaceae,,,Terrabacteria group,,,,,,,,,,,,,,
321956,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. bulgaricus,,,,,,,,,,,
390333,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. bulgaricus,,,,,,,,,,,
767455,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus delbrueckii subsp. bulgaricus ND02,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. bulgaricus,,,,,,,,,,,
353496,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus delbrueckii subsp. bulgaricus 2038,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. bulgaricus,,,,,,,,,,,
1585,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. bulgaricus,,,,,,,,,,,
29397,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. lactis,,,,,,,,,,,
1217420,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. jakobsenii,,,,,,,,,,,
83684,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. delbrueckii,,,,,,,,,,,
1050107,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. sunkii,,,,,,,,,,,
249265,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. indicus,,,,,,,,,,,
888027,cellular organisms,Bacteria,Lactobacillus,Lactobacillus delbrueckii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus delbrueckii subsp. lactis DSM 20072,,Terrabacteria group,,,Lactobacillus delbrueckii subsp. lactis,,,,,,,,,,,
405566,cellular organisms,Bacteria,Lactobacillus,Lactobacillus helveticus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus helveticus DPC 4571,,Terrabacteria group,,,,,,,,,,,,,,
880633,cellular organisms,Bacteria,Lactobacillus,Lactobacillus helveticus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus helveticus R0052,,Terrabacteria group,,,,,,,,,,,,,,
767462,cellular organisms,Bacteria,Lactobacillus,Lactobacillus helveticus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus helveticus H10,,Terrabacteria group,,,,,,,,,,,,,,
326425,cellular organisms,Bacteria,Lactobacillus,Lactobacillus helveticus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus helveticus CNRZ32,,Terrabacteria group,,,,,,,,,,,,,,
1587,cellular organisms,Bacteria,Lactobacillus,Lactobacillus helveticus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1588,cellular organisms,Bacteria,Lentilactobacillus,Lactobacillus hilgardii,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1589,cellular organisms,Bacteria,Lactiplantibacillus,Lactobacillus pentosus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
889932,cellular organisms,Bacteria,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus plantarum subsp. plantarum ST-III,,Terrabacteria group,,,Lactiplantibacillus plantarum subsp. plantarum,,,,,,,,,,,
1284663,cellular organisms,Bacteria,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus plantarum ZJ316,,Terrabacteria group,,,,,,,,,,,,,,
1300221,cellular organisms,Bacteria,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus plantarum DOMLa,,Terrabacteria group,,,,,,,,,,,,,,
337330,cellular organisms,Bacteria,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,Lactiplantibacillus plantarum subsp. plantarum,,,,,,,,,,,
1590,cellular organisms,Bacteria,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
271881,cellular organisms,Bacteria,Lactiplantibacillus,Lactiplantibacillus plantarum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,Lactiplantibacillus plantarum subsp. argentoratensis,,,,,,,,,,,
324831,cellular organisms,Bacteria,Lactobacillus,Lactobacillus gasseri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus gasseri ATCC 33323 = JCM 1131,,Terrabacteria group,,,,,,,,,,,,,,
1596,cellular organisms,Bacteria,Lactobacillus,Lactobacillus gasseri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1380360,cellular organisms,Bacteria,Lactobacillus,Lactobacillus gasseri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus gasseri DSM 14869,,Terrabacteria group,,,,,,,,,,,,,,
321967,cellular organisms,Bacteria,Lacticaseibacillus,Lacticaseibacillus paracasei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus paracasei ATCC 334,,Terrabacteria group,,,,,,,,,,,,,,
1597,cellular organisms,Bacteria,Lacticaseibacillus,Lacticaseibacillus paracasei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1226298,cellular organisms,Bacteria,Lacticaseibacillus,Lacticaseibacillus paracasei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus paracasei subsp. paracasei JCM 8130,,Terrabacteria group,,,Lactobacillus paracasei subsp. paracasei,,,,,,,,,,,
557433,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus reuteri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus reuteri JCM 1112,,Terrabacteria group,,,,,,,,,,,,,,
557436,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus reuteri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus reuteri DSM 20016,,Terrabacteria group,,,,,,,,,,,,,,
491077,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus reuteri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus reuteri SD2112,,Terrabacteria group,,,,,,,,,,,,,,
927703,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus reuteri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus reuteri ATCC 53608,,Terrabacteria group,,,,,,,,,,,,,,
1340495,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus reuteri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus reuteri I5007,,Terrabacteria group,,,,,,,,,,,,,,
1358027,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus reuteri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus reuteri TD1,,Terrabacteria group,,,,,,,,,,,,,,
1598,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus reuteri,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
314315,cellular organisms,Bacteria,Latilactobacillus,Lactobacillus sakei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus sakei subsp. sakei 23K,,Terrabacteria group,,,Lactobacillus sakei subsp. sakei,,,,,,,,,,,
1599,cellular organisms,Bacteria,Latilactobacillus,Lactobacillus sakei,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1600,cellular organisms,Bacteria,Lactobacillus,Lactobacillus acetotolerans,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1601,cellular organisms,Bacteria,Ligilactobacillus,Ligilactobacillus agilis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1423720,cellular organisms,Bacteria,Companilactobacillus,Lactobacillus alimentarius,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus alimentarius DSM 20249,,Terrabacteria group,,,,,,,,,,,,,,
1423721,cellular organisms,Bacteria,Amylolactobacillus,Amylolactobacillus amylophilus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Amylolactobacillus amylophilus DSM 20533 = JCM 1125,,Terrabacteria group,,,,,,,,,,,,,,
1604,cellular organisms,Bacteria,Lactobacillus,Lactobacillus amylovorus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
695562,cellular organisms,Bacteria,Lactobacillus,Lactobacillus amylovorus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus amylovorus GRL1118,,Terrabacteria group,,,,,,,,,,,,,,
1423723,cellular organisms,Bacteria,Lactobacillus,Lactobacillus amylovorus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus amylovorus DSM 20531,,Terrabacteria group,,,,,,,,,,,,,,
1605,cellular organisms,Bacteria,Ligilactobacillus,Lactobacillus animalis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
913848,cellular organisms,Bacteria,Loigolactobacillus,Lactobacillus coryniformis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001,,Terrabacteria group,,,Lactobacillus coryniformis subsp. coryniformis,,,,,,,,,,,
1423822,cellular organisms,Bacteria,Loigolactobacillus,Lactobacillus coryniformis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535,,Terrabacteria group,,,Lactobacillus coryniformis subsp. torquens,,,,,,,,,,,
936140,cellular organisms,Bacteria,Companilactobacillus,Lactobacillus farciminis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus farciminis KCTC 3681 = DSM 20184,,Terrabacteria group,,,,,,,,,,,,,,
334390,cellular organisms,Bacteria,Limosilactobacillus,Limosilactobacillus fermentum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus fermentum IFO 3956,,Terrabacteria group,,,,,,,,,,,,,,
767453,cellular organisms,Bacteria,Limosilactobacillus,Limosilactobacillus fermentum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus fermentum F-6,,Terrabacteria group,,,,,,,,,,,,,,
1381124,cellular organisms,Bacteria,Limosilactobacillus,Limosilactobacillus fermentum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus fermentum 3872,,Terrabacteria group,,,,,,,,,,,,,,
1613,cellular organisms,Bacteria,Limosilactobacillus,Limosilactobacillus fermentum,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1614,cellular organisms,Bacteria,Fructilactobacillus,Lactobacillus fructivorans,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1618,cellular organisms,Bacteria,Liquorilactobacillus,Lactobacillus mali,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1622,cellular organisms,Bacteria,Ligilactobacillus,Lactobacillus murinus,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1069534,cellular organisms,Bacteria,Ligilactobacillus,Lactobacillus ruminis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus ruminis ATCC 27782,,Terrabacteria group,,,,,,,,,,,,,,
362948,cellular organisms,Bacteria,Ligilactobacillus,Ligilactobacillus salivarius,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus salivarius UCC118,,Terrabacteria group,,,,,,,,,,,,,,
1624,cellular organisms,Bacteria,Ligilactobacillus,Ligilactobacillus salivarius,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1194971,cellular organisms,Bacteria,Ligilactobacillus,Ligilactobacillus salivarius,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus salivarius str. Ren,,Terrabacteria group,,,,,,,,,,,,,,
714313,cellular organisms,Bacteria,Fructilactobacillus,Lactobacillus sanfranciscensis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,Lactobacillus sanfranciscensis TMW 1.1304,,Terrabacteria group,,,,,,,,,,,,,,
1633,cellular organisms,Bacteria,Limosilactobacillus,Lactobacillus vaginalis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
881621,cellular organisms,Bacteria,Listeria,Listeria ivanovii,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria ivanovii subsp. ivanovii PAM 55,,Terrabacteria group,,,Listeria ivanovii subsp. ivanovii,,,,,,,,,,,
1457190,cellular organisms,Bacteria,Listeria,Listeria ivanovii,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria ivanovii WSLC3009,,Terrabacteria group,,,,,,,,,,,,,,
202752,cellular organisms,Bacteria,Listeria,Listeria ivanovii,Bacillales,Firmicutes,Bacilli,Listeriaceae,,,Terrabacteria group,,,Listeria ivanovii subsp. londoniensis,,,,,,,,,,,
265669,cellular organisms,Bacteria,Listeria,Listeria monocytogenes,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria monocytogenes serotype 4b str. F2365,,Terrabacteria group,,,,,,,,,Listeria monocytogenes serotype 4b,,,,,
552536,cellular organisms,Bacteria,Listeria,Listeria monocytogenes,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria monocytogenes HCC23,,Terrabacteria group,,,,,,,,,,,,,,
393126,cellular organisms,Bacteria,Listeria,Listeria monocytogenes,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria monocytogenes FSL R2-561,,Terrabacteria group,,,,,,,,,,,,,,
1230340,cellular organisms,Bacteria,Listeria,Listeria monocytogenes,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria monocytogenes serotype 4b str. LL195,,Terrabacteria group,,,,,,,,,Listeria monocytogenes serotype 4b,,,,,
1639,cellular organisms,Bacteria,Listeria,Listeria monocytogenes,Bacillales,Firmicutes,Bacilli,Listeriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1196193,cellular organisms,Bacteria,Listeria,Listeria monocytogenes,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria monocytogenes serotype 1/2c str. 10-5025,,Terrabacteria group,,,,,,,,,Listeria monocytogenes serotype 1/2c,,,,,
683837,cellular organisms,Bacteria,Listeria,Listeria seeligeri,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria seeligeri serovar 1/2b str. SLCC3954,,Terrabacteria group,,,,,,,,,,,,,,
1641,cellular organisms,Bacteria,Listeria,Listeria grayi,Bacillales,Firmicutes,Bacilli,Listeriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
272626,cellular organisms,Bacteria,Listeria,Listeria innocua,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria innocua Clip11262,,Terrabacteria group,,,,,,,,,,,,,,
386043,cellular organisms,Bacteria,Listeria,Listeria welshimeri,Bacillales,Firmicutes,Bacilli,Listeriaceae,Listeria welshimeri serovar 6b str. SLCC5334,,Terrabacteria group,,,,,,,,,,,,,,
288705,cellular organisms,Bacteria,Renibacterium,Renibacterium salmoninarum,Micrococcales,Actinobacteria,Actinobacteria,Micrococcaceae,Renibacterium salmoninarum ATCC 33209,,Terrabacteria group,,,,,,,,,,,,,,
650150,cellular organisms,Bacteria,Erysipelothrix,Erysipelothrix rhusiopathiae,Erysipelotrichales,Firmicutes,Erysipelotrichia,Erysipelotrichaceae,Erysipelothrix rhusiopathiae str. Fujisawa,,Terrabacteria group,,,,,,,,,,,,,,
1648,cellular organisms,Bacteria,Erysipelothrix,Erysipelothrix rhusiopathiae,Erysipelotrichales,Firmicutes,Erysipelotrichia,Erysipelotrichaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1650,cellular organisms,Bacteria,Kurthia,Kurthia zopfii,Bacillales,Firmicutes,Bacilli,Planococcaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1655,cellular organisms,Bacteria,Actinomyces,Actinomyces naeslundii,Actinomycetales,Actinobacteria,Actinobacteria,Actinomycetaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1656,cellular organisms,Bacteria,Actinomyces,Actinomyces viscosus,Actinomycetales,Actinobacteria,Actinobacteria,Actinomycetaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1659,cellular organisms,Bacteria,Actinomyces,Actinomyces israelii,Actinomycetales,Actinobacteria,Actinobacteria,Actinomycetaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1660,cellular organisms,Bacteria,Schaalia,Schaalia odontolytica,Actinomycetales,Actinobacteria,Actinobacteria,Actinomycetaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1661,cellular organisms,Bacteria,Trueperella,Trueperella pyogenes,Actinomycetales,Actinobacteria,Actinobacteria,Actinomycetaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1670,cellular organisms,Bacteria,Arthrobacter,Arthrobacter citreus,Micrococcales,Actinobacteria,Actinobacteria,Micrococcaceae,,,Terrabacteria group,,,,,,,,,,,,,,
367928,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium adolescentis ATCC 15703,,Terrabacteria group,,,,,,,,,,,,,,
1680,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
883062,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium bifidum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium bifidum S17,,Terrabacteria group,,,,,,,,,,,,,,
702459,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium bifidum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium bifidum PRL2010,,Terrabacteria group,,,,,,,,,,,,,,
484020,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium bifidum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium bifidum BGN4,,Terrabacteria group,,,,,,,,,,,,,,
1681,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium bifidum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1683,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium angulatum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
518635,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium angulatum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium angulatum DSM 20098 = JCM 7096,,Terrabacteria group,,,,,,,,,,,,,,
1147128,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium asteroides,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium asteroides PRL2011,,Terrabacteria group,,,,,,,,,,,,,,
866777,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve ACS-071-V-Sch8b,,Terrabacteria group,,,,,,,,,,,,,,
326426,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve UCC2003,,Terrabacteria group,,,,,,,,,,,,,,
1385938,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve 12L,,Terrabacteria group,,,,,,,,,,,,,,
1385939,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve JCM 7017,,Terrabacteria group,,,,,,,,,,,,,,
1385940,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve JCM 7019,,Terrabacteria group,,,,,,,,,,,,,,
1385941,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve NCFB 2258,,Terrabacteria group,,,,,,,,,,,,,,
1385942,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve 689b,,Terrabacteria group,,,,,,,,,,,,,,
936351,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium breve S27,,Terrabacteria group,,,,,,,,,,,,,,
1685,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium breve,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1447716,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium catenulatum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium kashiwanohense PV20-2,,Terrabacteria group,,,Bifidobacterium catenulatum subsp. kashiwanohense,,,,,,,,,,,
566552,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium catenulatum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,,Terrabacteria group,,,,,,,,,,,,,,
1150460,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium catenulatum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854,,Terrabacteria group,,,Bifidobacterium catenulatum subsp. kashiwanohense,,,,,,,,,,,
630129,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium catenulatum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,,,Terrabacteria group,,,Bifidobacterium catenulatum subsp. kashiwanohense,,,,,,,,,,,
1687,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium coryneforme,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
401473,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium dentium,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium dentium Bd1,,Terrabacteria group,,,,,,,,,,,,,,
1341694,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium indicum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium indicum LMG 11587 = DSM 20214,,Terrabacteria group,,,,,,,,,,,,,,
1447715,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium pseudolongum PV8-2,,Terrabacteria group,,,,,,,,,,,,,,
1694,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1410605,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium pseudolongum subsp. globosum DSM 20092,,Terrabacteria group,,,Bifidobacterium pseudolongum subsp. globosum,,,,,,,,,,,
649754,cellular organisms,Bacteria,Corynebacterium,Corynebacterium ammoniagenes,Corynebacteriales,Actinobacteria,Actinobacteria,Corynebacteriaceae,Corynebacterium ammoniagenes DSM 20306,,Terrabacteria group,,,,,,,,,,,,,,
1703,cellular organisms,Bacteria,Brevibacterium,Brevibacterium linens,Micrococcales,Actinobacteria,Actinobacteria,Brevibacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1705,cellular organisms,Bacteria,Corynebacterium,Corynebacterium stationis,Corynebacteriales,Actinobacteria,Actinobacteria,Corynebacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
590998,cellular organisms,Bacteria,Cellulomonas,Cellulomonas fimi,Micrococcales,Actinobacteria,Actinobacteria,Cellulomonadaceae,Cellulomonas fimi ATCC 484,,Terrabacteria group,,,,,,,,,,,,,,
1710,cellular organisms,Bacteria,Cellulosimicrobium,Cellulosimicrobium cellulans,Micrococcales,Actinobacteria,Actinobacteria,Promicromonosporaceae,,,Terrabacteria group,,,,,,,,,,,,,,
