# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
GCF_000015205.1,PRJNA224116,SAMN02598374,,na,384616,2277,Pyrobaculum islandicum DSM 4184,strain=DSM 4184,,latest,Complete Genome,Major,Full,2006/12/20,ASM1520v1,DOE Joint Genome Institute,GCA_000015205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/205/GCF_000015205.1_ASM1520v1,,assembly from type material,1.0,1.0,1965.0,1826402.0,GCF_000015205.1_Pyrobaculum islandicum DSM 4184_strain=DSM 4184,0.547641674587,49.5990477452,365.0,@GCF_000015205.1_Pyrobaculum_islandicum_DSM_4184_strain_DSM_4184,105.0,0.0500784,6.0
GCF_000015945.1,PRJNA224116,SAMN02598390,,na,399550,2280,Staphylothermus marinus F1,strain=F1,,latest,Complete Genome,Major,Full,2007/02/21,ASM1594v1,US DOE Joint Genome Institute,GCA_000015945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/945/GCF_000015945.1_ASM1594v1,,assembly from type material,1.0,1.0,1598.0,1570485.0,GCF_000015945.1_Staphylothermus marinus F1_strain=F1,0.866065096893,35.7265430743,382.0,@GCF_000015945.1_Staphylothermus_marinus_F1_strain_F1,100.0,0.0300986,212.0
GCF_000012285.1,PRJNA224116,SAMN02603173,,representative genome,330779,2285,Sulfolobus acidocaldarius DSM 639,strain=DSM 639,,latest,Complete Genome,Major,Full,2005/07/05,ASM1228v1,Danish Archaea Centre,GCA_000012285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/285/GCF_000012285.1_ASM1228v1,,assembly from type material,1.0,1.0,2243.0,2225959.0,GCF_000012285.1_Sulfolobus acidocaldarius DSM 639_strain=DSM 639,0.401310996991,36.7075943447,399.0,@GCF_000012285.1_Sulfolobus_acidocaldarius_DSM_639_strain_DSM_639,137.0,0.0780329,466.0
GCF_000338775.1,PRJNA224116,SAMN02604153,,na,1028567,2285,Sulfolobus acidocaldarius Ron12/I,strain=Ron12/I,,latest,Complete Genome,Major,Full,2013/02/08,ASM33877v1,University of Cincinnati,GCA_000338775.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/775/GCF_000338775.1_ASM33877v1,,,1.0,1.0,2243.0,2223983.0,,,36.7067554024,,,,,
GCF_000340315.1,PRJNA224116,SAMN02604152,,na,1028566,2285,Sulfolobus acidocaldarius N8,strain=N8,,latest,Complete Genome,Major,Full,2013/02/08,ASM34031v1,University of Cincinnati,GCA_000340315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/315/GCF_000340315.1_ASM34031v1,,,1.0,1.0,2207.0,2176362.0,,,36.6677050969,,,,,
GCF_002215405.1,PRJNA224116,SAMN06562953,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 18-5,,latest,Complete Genome,Major,Full,2017/07/06,ASM221540v1,Harvard University,GCA_002215405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/405/GCF_002215405.1_ASM221540v1,,,1.0,1.0,2229.0,2171591.0,,,36.7478498483,,,,,
GCF_002215445.1,PRJNA224116,SAMN06562952,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 20-20,,latest,Complete Genome,Major,Full,2017/07/06,ASM221544v1,Harvard University,GCA_002215445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/445/GCF_002215445.1_ASM221544v1,,,1.0,1.0,2295.0,2270336.0,,,36.739760106,,,,,
GCF_002215485.1,PRJNA224116,SAMN06562951,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 16-22,,latest,Complete Genome,Major,Full,2017/07/06,ASM221548v1,Harvard University,GCA_002215485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/485/GCF_002215485.1_ASM221548v1,,,1.0,1.0,2319.0,2286709.0,,,36.7576285395,,,,,
GCF_002215525.1,PRJNA224116,SAMN06562950,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 13-1,,latest,Complete Genome,Major,Full,2017/07/06,ASM221552v1,Harvard University,GCA_002215525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/525/GCF_002215525.1_ASM221552v1,,,1.0,1.0,2256.0,2238200.0,,,36.6961397552,,,,,
GCF_002215565.1,PRJNA224116,SAMN06562949,,na,2285,2285,Sulfolobus acidocaldarius,strain=DG1,,latest,Complete Genome,Major,Full,2017/07/06,ASM221556v1,Harvard University,GCA_002215565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/565/GCF_002215565.1_ASM221556v1,,,1.0,1.0,2249.0,2225849.0,,,36.7080606097,,,,,
GCF_000007005.1,PRJNA224116,SAMN02603227,,na,273057,2287,Sulfolobus solfataricus P2,strain=P2,,latest,Complete Genome,Major,Full,2002/11/25,ASM700v1,European/Canadian Consortium,GCA_000007005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/005/GCF_000007005.1_ASM700v1,,,1.0,1.0,2796.0,2992245.0,GCF_000007005.1_Sulfolobus solfataricus P2_strain=P2,0.400755063731,35.787176518,404.0,@GCF_000007005.1_Sulfolobus_solfataricus_P2_strain_P2,124.0,1e-06,86.0
GCF_000024745.1,PRJNA224116,SAMN00120218,,na,555311,2287,Sulfolobus solfataricus 98/2,strain=98/2,,latest,Complete Genome,Major,Full,2009/10/20,ASM2474v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000024745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/745/GCF_000024745.1_ASM2474v1,,,1.0,1.0,2609.0,2668974.0,GCF_000024745.1_Sulfolobus solfataricus 98/2_strain=98/2,0.394036912903,35.825152287,405.0,@GCF_000024745.1_Sulfolobus_solfataricus_98/2_strain_98/2,116.0,1e-06,22.0
GCF_000968355.1,PRJNA224116,SAMN03452281,,na,2287,2287,Sulfolobus solfataricus,strain=SULB,98/2,latest,Complete Genome,Major,Full,2015/04/02,ASM96835v1,University of Nebraska-Lincoln,GCA_000968355.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/355/GCF_000968355.1_ASM96835v1,,,1.0,1.0,2647.0,2727261.0,,,35.8598241972,,,,,
GCF_000968395.1,PRJNA224116,SAMN03395044,,na,2287,2287,Sulfolobus solfataricus,strain=98/2 SULC,,latest,Complete Genome,Major,Full,2015/04/02,ASM96839v1,University of Nebraska-Lincoln,GCA_000968395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/395/GCF_000968395.1_ASM96839v1,,,1.0,1.0,2645.0,2727312.0,,,35.8590802959,,,,,
GCF_000968435.1,PRJNA224116,SAMN03452280,,na,2287,2287,Sulfolobus solfataricus,strain=SULA,98/2,latest,Complete Genome,Major,Full,2015/04/02,ASM96843v1,University of Nebraska-Lincoln,GCA_000968435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/435/GCF_000968435.1_ASM96843v1,,,1.0,1.0,2640.0,2727337.0,,,35.8597049063,,,,,
GCF_900079115.1,PRJNA224116,SAMEA3920617,,representative genome,2287,2287,Sulfolobus solfataricus,strain=P1,,latest,Complete Genome,Major,Full,2016/04/11,SSOP1,Institute of Biology,GCA_900079115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/115/GCF_900079115.1_SSOP1,,,1.0,1.0,2889.0,3034024.0,,,35.8350164666,,,,,
GCF_000195915.1,PRJNA224116,SAMEA3138325,,representative genome,273075,2303,Thermoplasma acidophilum DSM 1728,strain=DSM 1728,,latest,Complete Genome,Major,Full,2003/05/06,ASM19591v1,Max-Plank-Institute,GCA_000195915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/915/GCF_000195915.1_ASM19591v1,,assembly from type material,1.0,1.0,1519.0,1564906.0,GCF_000195915.1_Thermoplasma acidophilum DSM 1728_strain=DSM 1728,0.405024732315,45.9943919954,205.0,@GCF_000195915.1_Thermoplasma_acidophilum_DSM_1728_strain_DSM_1728,109.0,0.0132975,182.0
GCF_000012545.1,PRJNA224116,SAMN02604180,,representative genome,339860,2317,Methanosphaera stadtmanae DSM 3091,strain=DSM 3091,,latest,Complete Genome,Major,Full,2006/01/05,ASM1254v1,University of Goettingen,GCA_000012545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/545/GCF_000012545.1_ASM1254v1,,assembly from type material,4.0,1.0,1517.0,1767403.0,GCF_000012545.1_Methanosphaera stadtmanae DSM 3091_strain=DSM 3091,0.734607923078,27.6337088938,12.0,@GCF_000012545.1_Methanosphaera_stadtmanae_DSM_3091_strain_DSM_3091,107.0,0.0312484,281.0
GCF_000196655.1,PRJNA224116,SAMN00015125,,representative genome,644295,2322,Methanohalobium evestigatum Z-7303,strain=Z-7303,,latest,Complete Genome,Major,Full,2010/06/15,ASM19665v1,US DOE Joint Genome Institute,GCA_000196655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/655/GCF_000196655.1_ASM19665v1,,assembly from type material,2.0,2.0,2266.0,2406232.0,GCF_000196655.1_Methanohalobium evestigatum Z-7303_strain=Z-7303,0.652272447462,36.4249581919,149.0,@GCF_000196655.1_Methanohalobium_evestigatum_Z-7303_strain_Z-7303,106.0,0.0878224,226.0
GCF_000025625.1,PRJNA224116,SAMN02598473,,representative genome,547559,13769,Natrialba magadii ATCC 43099,strain=ATCC 43099,,latest,Complete Genome,Major,Full,2010/02/24,ASM2562v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000025625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/625/GCF_000025625.1_ASM2562v1,,assembly from type material,3.0,4.0,4075.0,4443643.0,GCF_000025625.1_Natrialba magadii ATCC 43099_strain=ATCC 43099,0.464247763996,61.0501788735,73.0,@GCF_000025625.1_Natrialba_magadii_ATCC_43099_strain_ATCC_43099,154.0,0.0326973,197.0
GCF_002355655.1,PRJNA224116,SAMD00053811,,na,29284,29284,Halorubrum trapanicum,strain=CBA1232,,latest,Complete Genome,Major,Full,2016/07/01,ASM235565v1,Korea Basic Science Institute,GCA_002355655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/655/GCF_002355655.1_ASM235565v1,,,2.0,3.0,2878.0,3080199.0,GCF_002355655.1_Halorubrum trapanicum_strain=CBA1232,0.429778840378,68.6283905683,58.0,@GCF_002355655.1_Halorubrum_trapanicum_strain_CBA1232,136.0,0.0581371,37.0
GCF_000328685.1,PRJNA224116,SAMN02261263,,representative genome,694430,29288,Natronococcus occultus SP4,strain=SP4,,latest,Complete Genome,Major,Full,2012/12/28,ASM32868v1,JGI,GCA_000328685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/685/GCF_000328685.1_ASM32868v1,,assembly from type material,4.0,3.0,4035.0,4314118.0,GCF_000328685.1_Natronococcus occultus SP4_strain=SP4,0.501223235008,64.663646196,85.0,@GCF_000328685.1_Natronococcus_occultus_SP4_strain_SP4,167.0,0.074205,369.0
GCF_000013725.1,PRJNA224116,SAMN02598545,,representative genome,259564,29291,Methanococcoides burtonii DSM 6242,strain=DSM 6242,,latest,Complete Genome,Major,Full,2006/04/10,ASM1372v1,DOE Joint Genome Institute,GCA_000013725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/725/GCF_000013725.1_ASM1372v1,,assembly from type material,3.0,1.0,2376.0,2575032.0,GCF_000013725.1_Methanococcoides burtonii DSM 6242_strain=DSM 6242,0.663836413152,40.7580954334,190.0,@GCF_000013725.1_Methanococcoides_burtonii_DSM_6242_strain_DSM_6242,124.0,0.0182324,407.0
GCF_000195935.2,PRJNA224116,SAMEA3283067,,representative genome,272844,29292,Pyrococcus abyssi GE5,,,latest,Complete Genome,Major,Full,2003/05/06,ASM19593v1,Genoscope,GCA_000195935.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/935/GCF_000195935.2_ASM19593v1,,assembly from type material,1.0,2.0,1862.0,1768562.0,GCF_000195935.2_Pyrococcus abyssi GE5,0.837187525223,44.7114096085,294.0,@GCF_000195935.2_Pyrococcus_abyssi_GE5,118.0,1e-06,211.0
GCF_001190965.1,PRJNA224116,SAMN03755233,,na,35746,35746,Haloferax gibbonsii,strain=ARA6,,latest,Complete Genome,Major,Full,2015/08/03,ASM119096v1,Universidade do Estado do Rio de Janeiro,GCA_001190965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/965/GCF_001190965.1_ASM119096v1,,,2.0,5.0,3744.0,3918454.0,GCF_001190965.1_Haloferax gibbonsii_strain=ARA6,0.492004596938,66.2039671769,44.0,@GCF_001190965.1_Haloferax_gibbonsii_strain_ARA6,156.0,0.00268847,127.0
GCF_000970085.1,PRJNA224116,SAMN03074589,,representative genome,1434120,38027,Methanosarcina siciliae T4/M,strain=T4/M,,latest,Complete Genome,Major,Full,2015/04/07,ASM97008v1,University of Illinois at Urbana-Champaign,GCA_000970085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/085/GCF_000970085.1_ASM97008v1,,assembly from type material,3.0,1.0,3916.0,5017558.0,GCF_000970085.1_Methanosarcina siciliae T4/M_strain=T4/M,0.587610071822,42.9404104546,174.0,@GCF_000970085.1_Methanosarcina_siciliae_T4/M_strain_T4/M,116.0,0.00223077,116.0
GCF_000970145.1,PRJNA224116,SAMN03074587,,na,1434118,38027,Methanosarcina siciliae C2J,strain=C2J,,latest,Complete Genome,Major,Full,2015/04/07,ASM97014v1,University of Illinois at Urbana-Champaign,GCA_000970145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/145/GCF_000970145.1_ASM97014v1,,,3.0,1.0,4177.0,5427890.0,GCF_000970145.1_Methanosarcina siciliae C2J_strain=C2J,0.595678314972,42.6009001656,173.0,@GCF_000970145.1_Methanosarcina_siciliae_C2J_strain_C2J,120.0,1e-06,120.0
GCF_000011585.1,PRJNA224116,SAMEA3138215,,na,267377,39152,Methanococcus maripaludis S2,strain=S2,,latest,Complete Genome,Major,Full,2004/03/04,ASM1158v1,University of Washington,GCA_000011585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/585/GCF_000011585.1_ASM1158v1,,,3.0,1.0,1718.0,1661137.0,GCF_000011585.1_Methanococcus maripaludis S2_strain=S2,0.779559919225,33.1003403091,230.0,@GCF_000011585.1_Methanococcus_maripaludis_S2_strain_S2,114.0,1e-06,434.0
GCF_000016125.1,PRJNA224116,SAMN02598397,,na,402880,39152,Methanococcus maripaludis C5,strain=C5,,latest,Complete Genome,Major,Full,2007/03/15,ASM1612v1,DOE Joint Genome Institute,GCA_000016125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/125/GCF_000016125.1_ASM1612v1,,,3.0,2.0,1819.0,1789046.0,GCF_000016125.1_Methanococcus maripaludis C5_strain=C5,0.756520148054,32.9759547826,233.0,@GCF_000016125.1_Methanococcus_maripaludis_C5_strain_C5,117.0,1e-06,397.0
GCF_000017225.1,PRJNA224116,SAMN00000031,,representative genome,426368,39152,Methanococcus maripaludis C7,strain=C7,,latest,Complete Genome,Major,Full,2007/06/29,ASM1722v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/225/GCF_000017225.1_ASM1722v1,,,3.0,1.0,1785.0,1772694.0,GCF_000017225.1_Methanococcus maripaludis C7_strain=C7,0.766020412614,33.284424723,234.0,@GCF_000017225.1_Methanococcus_maripaludis_C7_strain_C7,109.0,0.00232139,280.0
GCF_000018485.1,PRJNA224116,SAMN02598423,,na,444158,39152,Methanococcus maripaludis C6,strain=C6,,latest,Complete Genome,Major,Full,2007/11/13,ASM1848v1,US DOE Joint Genome Institute,GCA_000018485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/485/GCF_000018485.1_ASM1848v1,,,3.0,1.0,1815.0,1744193.0,GCF_000018485.1_Methanococcus maripaludis C6_strain=C6,0.768338886614,33.4231934195,232.0,@GCF_000018485.1_Methanococcus_maripaludis_C6_strain_C6,105.0,1e-06,218.0
GCF_000220645.1,PRJNA224116,SAMN02603718,,representative genome,1053692,39152,Methanococcus maripaludis X1,strain=X1,,latest,Complete Genome,Major,Full,2011/07/14,ASM22064v1,"Ecosystem Sciences, Commonwealth Scientific and Industrial Research Organisation ",GCA_000220645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/645/GCF_000220645.1_ASM22064v1,,,2.0,1.0,1796.0,1746697.0,,,32.9406874804,,,,,
GCF_002945325.1,PRJNA224116,SAMN08466362,,na,39152,39152,Methanococcus maripaludis,strain=DSM 2067,,latest,Complete Genome,Major,Full,2018/02/12,ASM294532v1,Goettingen Genomics Laboratory,GCA_002945325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/945/325/GCF_002945325.1_ASM294532v1,,assembly from type material,3.0,1.0,1778.0,1714918.0,GCF_002945325.1_Methanococcus maripaludis_strain=DSM 2067,0.772121246254,32.918483566,229.0,@GCF_002945325.1_Methanococcus_maripaludis_strain_DSM_2067,90.0,0.00116032,73.0
GCF_000217995.1,PRJNA224116,SAMN02232039,,representative genome,679901,39669,Methanosalsum zhilinae DSM 4017,strain=DSM 4017,,latest,Complete Genome,Major,Full,2011/06/13,ASM21799v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000217995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/995/GCF_000217995.1_ASM21799v1,,assembly from type material,3.0,1.0,1951.0,2138444.0,GCF_000217995.1_Methanosalsum zhilinae DSM 4017_strain=DSM 4017,0.708754931397,39.1560405603,150.0,@GCF_000217995.1_Methanosalsum_zhilinae_DSM_4017_strain_DSM_4017,115.0,0.0311746,272.0
GCF_003201835.1,PRJNA224116,SAMN09071529,,na,41673,41673,Acidianus brierleyi,strain=DSM 1651,,latest,Complete Genome,Major,Full,2018/06/07,ASM320183v1,North Carolina State University,GCA_003201835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/835/GCF_003201835.1_ASM320183v1,,,1.0,1.0,2858.0,2947156.0,GCF_003201835.1_Acidianus brierleyi_strain=DSM 1651,0.241417665843,31.9038761436,415.0,@GCF_003201835.1_Acidianus_brierleyi_strain_DSM_1651,120.0,0.0931111,24.0
GCF_000017185.1,PRJNA224116,SAMN00623051,,representative genome,419665,42879,Methanococcus aeolicus Nankai-3,strain=Nankai-3,,latest,Complete Genome,Major,Full,2007/06/29,ASM1718v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/185/GCF_000017185.1_ASM1718v1,,assembly from type material,2.0,1.0,1489.0,1569500.0,GCF_000017185.1_Methanococcus aeolicus Nankai-3_strain=Nankai-3,0.779761752465,30.0374641606,226.0,@GCF_000017185.1_Methanococcus_aeolicus_Nankai-3_strain_Nankai-3,99.0,0.0487348,268.0
GCF_000022385.1,PRJNA224116,SAMN02598420,,representative genome,429572,43080,Sulfolobus islandicus L.S.2.15,strain=L.S.2.15,,latest,Complete Genome,Major,Full,2009/04/24,ASM2238v1,US DOE Joint Genome Institute,GCA_000022385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/385/GCF_000022385.1_ASM2238v1,,,1.0,1.0,2754.0,2736272.0,GCF_000022385.1_Sulfolobus islandicus L.S.2.15_strain=L.S.2.15,0.387210022803,35.1110196647,410.0,@GCF_000022385.1_Sulfolobus_islandicus_L.S.2.15_strain_L.S.2.15,158.0,0.00224873,584.0
GCF_000022405.1,PRJNA224116,SAMN02598416,,na,427317,43080,Sulfolobus islandicus M.14.25,strain=M.14.25,,latest,Complete Genome,Major,Full,2009/04/24,ASM2240v1,US DOE Joint Genome Institute,GCA_000022405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/405/GCF_000022405.1_ASM2240v1,,,1.0,1.0,2663.0,2608832.0,GCF_000022405.1_Sulfolobus islandicus M.14.25_strain=M.14.25,0.393630551407,35.0995004661,407.0,@GCF_000022405.1_Sulfolobus_islandicus_M.14.25_strain_M.14.25,125.0,0.00112472,199.0
GCF_000022425.1,PRJNA224116,SAMN02598417,,na,427318,43080,Sulfolobus islandicus M.16.27,strain=M.16.27,,latest,Complete Genome,Major,Full,2009/04/29,ASM2242v1,US DOE Joint Genome Institute,GCA_000022425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/425/GCF_000022425.1_ASM2242v1,,,1.0,1.0,2722.0,2692402.0,GCF_000022425.1_Sulfolobus islandicus M.16.27_strain=M.16.27,0.400761136184,35.0097050886,403.0,@GCF_000022425.1_Sulfolobus_islandicus_M.16.27_strain_M.16.27,124.0,1e-06,211.0
GCF_000022465.1,PRJNA224116,SAMN02598422,,na,439386,43080,Sulfolobus islandicus Y.G.57.14,strain=Y.G.57.14,,latest,Complete Genome,Major,Full,2009/04/29,ASM2246v1,US DOE Joint Genome Institute,GCA_000022465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/465/GCF_000022465.1_ASM2246v1,,,1.0,1.0,2686.0,2702058.0,,,35.3853618242,,,,,
GCF_000022485.1,PRJNA224116,SAMN02598411,,na,419942,43080,Sulfolobus islandicus Y.N.15.51,strain=Y.N.15.51,,latest,Complete Genome,Major,Full,2009/04/29,ASM2248v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000022485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/485/GCF_000022485.1_ASM2248v1,,,1.0,2.0,2779.0,2854410.0,GCF_000022485.1_Sulfolobus islandicus Y.N.15.51_strain=Y.N.15.51,0.379467489788,35.3054046195,402.0,@GCF_000022485.1_Sulfolobus_islandicus_Y.N.15.51_strain_Y.N.15.51,136.0,0.00395112,298.0
GCF_000189555.1,PRJNA224116,SAMN02603882,,na,930945,43080,Sulfolobus islandicus REY15A,strain=REY15A,,latest,Complete Genome,Major,Full,2011/02/16,ASM18955v1,"State Key Laboratory of Microbial Resources, Institute of Microbiology, CAS, Beijing, P. R. China",GCA_000189555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/555/GCF_000189555.1_ASM18955v1,,,1.0,1.0,2526.0,2522992.0,,,35.3077615783,,,,,
GCF_000364745.1,PRJNA224116,SAMN02603709,,na,1241935,43080,Sulfolobus islandicus LAL14/1,strain=LAL14/1,,latest,Complete Genome,Major,Full,2013/04/15,ASM36474v1,"Pasteur Institute, Paris, France",GCA_000364745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/745/GCF_000364745.1_ASM36474v1,,,1.0,1.0,2503.0,2465177.0,,,35.1421419233,,,,,
GCF_000016605.1,PRJNA224116,SAMN02598389,,representative genome,399549,43687,Metallosphaera sedula DSM 5348,strain=DSM 5348,,latest,Complete Genome,Major,Full,2007/04/25,ASM1660v1,US DOE Joint Genome Institute,GCA_000016605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/605/GCF_000016605.1_ASM1660v1,,assembly from type material,1.0,1.0,2298.0,2191517.0,GCF_000016605.1_Metallosphaera sedula DSM 5348_strain=DSM 5348,0.31174963357,46.2253315854,419.0,@GCF_000016605.1_Metallosphaera_sedula_DSM_5348_strain_DSM_5348,129.0,0.01,362.0
GCF_001266655.1,PRJNA224116,SAMN03857118,,na,43687,43687,Metallosphaera sedula,strain=ARS50-1,,latest,Complete Genome,Major,Full,2015/08/12,ASM126665v1,University of Nebraska-Lincoln,GCA_001266655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/655/GCF_001266655.1_ASM126665v1,,,1.0,1.0,2297.0,2191533.0,GCF_001266655.1_Metallosphaera sedula_strain=ARS50-1,0.303017356835,46.2252222531,420.0,@GCF_001266655.1_Metallosphaera_sedula_strain_ARS50-1,129.0,0.00111067,359.0
GCF_001266675.1,PRJNA224116,SAMN03857124,,na,43687,43687,Metallosphaera sedula,strain=ARS50-2,,latest,Complete Genome,Major,Full,2015/08/12,ASM126667v1,University of Nebraska-Lincoln,GCA_001266675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/675/GCF_001266675.1_ASM126667v1,,,1.0,1.0,2298.0,2191529.0,,,46.2251697331,,,,,
GCF_001266695.1,PRJNA224116,SAMN03857129,,na,43687,43687,Metallosphaera sedula,strain=ARS120-1,,latest,Complete Genome,Major,Full,2015/08/12,ASM126669v1,University of Nebraska-Lincoln,GCA_001266695.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/695/GCF_001266695.1_ASM126669v1,,,1.0,1.0,2298.0,2191531.0,,,46.2249906572,,,,,
GCF_001266715.1,PRJNA224116,SAMN03857133,,na,43687,43687,Metallosphaera sedula,strain=ARS120-2,,latest,Complete Genome,Major,Full,2015/08/12,ASM126671v1,University of Nebraska-Lincoln,GCA_001266715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/715/GCF_001266715.1_ASM126671v1,,,1.0,1.0,2298.0,2191533.0,,,46.2249484721,,,,,
GCF_001266735.1,PRJNA224116,SAMN03890864,,na,43687,43687,Metallosphaera sedula,strain=SARC-M1,,latest,Complete Genome,Major,Full,2015/08/12,ASM126673v1,University of Nebraska-Lincoln,GCA_001266735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/735/GCF_001266735.1_ASM126673v1,,,1.0,1.0,2301.0,2191533.0,,,46.224902842,,,,,
GCF_000230715.2,PRJNA224116,SAMN02232042,,representative genome,797304,44930,Natronobacterium gregoryi SP2,strain=SP2,,latest,Complete Genome,Major,Full,2012/12/10,ASM23071v3,DOE Joint Genome Institute,GCA_000230715.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/715/GCF_000230715.2_ASM23071v3,,assembly from type material,3.0,1.0,3560.0,3788356.0,GCF_000230715.2_Natronobacterium gregoryi SP2_strain=SP2,0.482690284398,62.2355185204,88.0,@GCF_000230715.2_Natronobacterium_gregoryi_SP2_strain_SP2,154.0,0.0664361,166.0
GCF_002214585.1,PRJNA224116,SAMN03324163,,representative genome,49899,49899,Thermococcus profundus,strain=DT 5432,,latest,Complete Genome,Major,Full,2017/07/05,ASM221458v1,Ecole Normale Superieure de Lyon,GCA_002214585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/585/GCF_002214585.1_ASM221458v1,,assembly from synonym type material,1.0,2.0,2075.0,2043143.0,GCF_002214585.1_Thermococcus profundus_strain=DT 5432,0.874756602071,53.0863478474,269.0,@GCF_002214585.1_Thermococcus_profundus_strain_DT_5432,105.0,0.00993046,38.0
